;cod;rec_trib_2013;rec_trib_2014;rec_trib_2015;rec_trib_2016;iptu_2013;iptu_2014;iptu_2015;iptu_2016
809;2202554;187027.87;270164.09;262340.84;81438.41;73.7;10.25;602.02;
810;3530409;491252.33;821749.38;548216.02;113951.09;31262.24;46270.45;52987.98;61193.43
811;2605509;562615.11;655958.76;869841.47;694965.02;108467.15;1162.69;214700.35;77508.9
812;4323754;371185.58;482341.36;408743.91;389441.02;68900.55;64218.46;65619.64;70448.8
813;5213103;22987907.05;;30543395.63;32430271.64;3128775.26;;5290042;5144188.16
814;1501501;8435283.29;12126609.6;8309502.41;7984159.34;1258635.57;1791485.2;984155.92;293873.65
815;5006275;2806561.15;3637768.69;3572219.6;3578459.95;;110405.6;119888.1;125154.88
816;3511508;13169034.11;14227695.28;15127293.24;19214867.68;4500534.15;4924987.77;5964124.68;7144012.27
817;4314100;86243918.51;91728370.75;99237021.15;112726171.5;28299744.73;31002612.87;29867977.67;36526216.87
818;4305975;601315.9;705215.96;787509.88;993043.38;76883.37;94393.02;107264.49;116744.22
819;4216503;3844835.04;4700790.77;5663350.75;6398962.57;1617965.97;1330098.61;589015.44;1873074.86
820;2301109;9129039.13;10579853.9;13508027.74;13409304.28;864714.48;845390.88;942693.81;1085973.54
821;4102505;2224236.04;2696670.71;2089713.72;3386821.09;603988.41;662342.82;424434.35;830243.36
822;2614501;3975388.15;4732512.29;5551243.7;5756697.91;463178.26;502028.43;565174.37;603310.78
823;3106200;2427622705;2822161069;2998531142;3161795280;754025911.9;816190233.9;890647488.2;1009455072
824;3147907;23486554.74;29250526.46;33639676.04;37180896.68;6293386.74;9578350.31;13139467.17;14640473.31
825;2600609;909255.56;813286.97;806065.66;898616.85;19122.39;37746.67;31235.46;
826;2110906;382863.34;430188.67;;234745.43;500;5959.54;;5643.88
827;5200258;19002153;23334395.2;33192365.14;35407938.81;4153859.79;3647890.47;6458168.98;6394532.25
828;2102150;90269.08;297614.43;282742.81;45298.59;1985.83;1871.71;1180;443.3
829;3136108;293121.63;234066.58;221631.36;343575.94;2647.28;8059.73;5569.44;4514.19
830;2610400;3704837.97;2314410.59;2274582.28;1557063.74;2407.29;139.34;29790.19;40634.7
831;4103503;1550710.82;1693198.21;2081539.78;2428859.25;197951.98;221235.09;257757.91;293098.1
832;2105401;3559522.78;3721430.54;4449927;3973389.65;105764.74;64111.23;96894.56;68659.48
833;3516606;794477.66;1138786.09;1310849.68;2119452.91;360777.25;396302.84;418109.03;468691.12
834;5107107;2918713.32;2523300.59;2988129;2938858.03;264762.17;286342.44;465334.13;487280.51
835;2210508;935360.95;700016.41;1258768.37;;17120.95;24752.38;21885.55;
836;2209377;216709.86;293679.91;240681.79;160824.11;1935.66;14737.67;10265.19;12755.63
837;4204202;95730697.24;117681354.1;134301571;143698148.5;17660476.03;19529507.64;23629503.54;24560632.93
838;5004502;3722775.39;4726574.95;3406606.39;1914899.66;540599.17;880727.83;744418.72;737558.13
839;1505304;21276848.79;15488481.17;15387701.51;17299362.21;290875.32;336130.81;380622.98;376349.8
840;4217808;3975049.85;4641121.29;5069588.69;;897073.77;1152399.81;1172906.94;
841;4102000;7716260.37;8731663.94;9945967.74;11059260.36;1910169.1;2031641.87;2314155.88;2367704.49
842;1400159;1897484.92;1446653.84;807754.28;1758473.04;1943.52;2685.43;29228.55;1698294.91
843;2101608;3931218.31;3084764.12;1938404.83;5497476.9;194016.47;191619.95;179437.11;191770.53
844;3127503;404117.52;;285929.18;372416.23;15437.37;;17520.88;18250.75
845;3504800;1725996.18;1993625.33;2083412.8;2490435.69;479294.77;579347.83;640698.93;711297.44
846;1100114;6887994.57;8827524.24;8858619.59;10091665.8;833851.95;;873127.51;953727.8
847;3157336;358417.13;371481.15;423050.93;559585.93;66119.52;71805.48;78740.89;85196.18
848;2202711;207477.72;199513.99;222925.74;304990.06;1181.64;51100.35;25114.74;8004.71
849;2111763;337890.77;461375.06;544623.66;614701.92;12.37;35;895;394.96
850;4321006;2907095.05;3213430;3945987.81;3617314.19;1020816.83;1220950.02;1221648.28;1428255.01
851;1100148;2143151.74;2131229.06;1872304.72;1867856.39;430586.38;530244.91;504775.72;428768.01
852;4205902;23377865.77;26677688.24;28613515.72;32429845.53;5108363.43;5717233.98;6084436.61;6777131.18
853;3103207;239486.1;186509.2;202288.92;185776.72;8219.15;8610.17;22732.55;23017.26
854;4204194;296758.06;325753.54;313927.45;196680.38;200943.76;52089.55;30012.51;39518.67
855;2932101;962799.05;1393161.6;1409787.73;1295875.41;35542.91;49072.33;62696.28;116420.95
856;3531605;579674.77;810565.19;669925.33;405301.86;98887.99;147319.13;150645.34;165238.94
857;1506195;1708947.44;3198695.05;;;82623.75;77289.49;;
858;2923308;403742.87;878599.1;478056.77;;20327.71;25837.01;18678.67;
859;2105708;4562479.34;3598544.04;2739335.27;2766199.32;74133.58;109430.74;57528.19;53544.21
860;4217105;401849.11;493023.32;595258.62;697058.28;27359.86;72637.19;31228.97;44438.2
861;5007802;3504106.12;3338419.24;2869031.76;3182718.52;182460.58;199216.53;252625.43;220618.15
862;5214804;272876.11;326565.48;327771.06;388745.12;20161.4;9701.09;28013.43;21917.96
863;3122108;226602.51;;266382.58;272050.97;27339.08;;14573.78;7806.83
864;4208005;1874373.48;2411926.75;2626998.29;2351149.16;156633.46;235424.15;308887.02;309793.21
865;4215752;246417.86;298660.68;355767.96;423839.35;23423.03;25567.37;27201.96;28634.77
866;2614709;918936.17;1615025.3;865012.98;1303422.81;6272.05;4841.55;1113.65;
867;3504404;1869683.74;2113722.74;2203544.21;2464889.25;551242.11;687853.01;730380.43;788736.99
868;4309704;633021.53;747847.56;753156.35;655940.91;223385.71;239842.91;261490.07;291579.95
869;3519808;2080331.27;1685431.18;1694050.55;714553.41;335495.81;373320.9;406335.44;426966.3
870;3526308;832772.43;741570.53;897661.38;689846.86;159410.5;176846.36;186201.63;212416.94
871;4309605;7272483.75;9414569.82;8921100.79;10958079.96;1724690.75;2754827.54;3163138.21;3656551.25
872;4210506;9211774.96;9121581.13;10471763.1;11400480.66;1457695.14;1719514.11;1842104.86;1968540.4
873;5002704;615609661.4;746128871.9;753667600.2;809870393.9;233732198.7;287392977;228749453;312616474.1
874;2807204;4855276.31;4950289.26;5087162.46;2126028.35;3742.52;5240.96;1167.43;1550.41
875;3531209;3098536.72;3363870.97;3284927.65;3604772.51;1768595.94;1921669.26;1971756.09;1995504.45
876;2102325;4974485.16;5026698.09;12252620.58;8208977.43;67073.5;70550.9;38859.78;33844.21
877;2305506;12957509.95;12264261.16;14911483.6;17780958.95;1378659.35;1576565.17;1969626.97;2197036.51
878;3516853;3094399.74;3496913.69;2698642.73;13639525.52;;220490.7;213159.2;866140.02
879;2102358;315503.34;635133.81;532514.56;584586.44;3800;2380.24;4432.96;1285.14
880;4305850;606080.54;612177.12;628178.43;632636.86;174117;188197.39;197002.43;223448.54
881;3204005;1566324.82;2468850.71;2266777.6;1855994.08;180205.64;300510.79;262924.01;222247.7
882;2600302;1618456.73;2129325.26;2009383.27;2083546.07;181346.91;231767.24;322881.73;380664.07
883;3170651;166808.01;204499.29;318030.75;184743.35;3478.07;8675.98;6337.41;5545.7
884;4217402;4168013.76;4403473.73;5000315.66;6440602.21;1082427.47;1188559.96;1336475.2;1817175.89
885;2907202;6239706.9;2135388.31;4171257.25;3759474.47;120544.58;27606.73;54090.53;16824.29
886;2111201;25100422.4;29301085.36;31365804.45;30666418.18;2388606.47;2427316.59;2842245.54;2227089.12
887;3523800;826481.9;964515.59;966326.64;;279326.34;320567.82;354128.06;
888;4310009;6584407.37;7345106.44;8951604.84;10015334.89;1787293.37;1935847.78;2635303.51;2834735.19
889;4109302;2864816.86;3582830.9;3839628.48;4127084.75;327708.17;372591.06;418216.29;462930.81
890;3129707;1469207.69;1568050.6;1700641.3;7048132.48;61932.2;72364.27;134271.21;145493.62
891;3534609;8067889.48;10215530.56;11123226.48;11586258.4;2824769.66;3545501.15;4783284.37;5435438.61
892;2602704;758705.16;781848.01;684382.2;728197.53;25578.65;23761.37;26336.57;18226.54
893;4300877;877592.93;911497.42;1070762.79;1087459.21;248203.41;283798.99;305795.09;472790.89
894;5004403;5866619.85;5723735.49;4020138.9;4937356.45;281277.73;288091.87;314876.78;323894.74
895;1100924;2627853.66;3020965.65;1709949.86;2125914.98;51198.09;59393.96;52022.49;65901.3
896;3138674;281691.8;;302138.62;483735.24;38438.07;;40736.78;46090.84
897;4309555;842933.87;955878.97;1190975.83;1351951.54;246445.37;313788.09;382164.9;406219.55
898;4103156;254399.92;379801.93;384159.99;441874.66;43610.42;55032.93;66489.47;74500.05
899;2108454;1235755.98;887103.17;;;;;;
900;2604908;856651.86;845025.97;888392.63;1164801.37;9988;29303.39;24702.99;19624.15
901;3529609;1995611.85;2106121.78;1862604.08;1787745.46;85913.96;92075.51;113951.5;132229.77
902;5202809;264241.28;303000;437557.15;382252.02;17002.77;280000;20028.9;20574.65
