;region_id;month;gdp_region;fpm;idhm;pop;unemployment;itbi;treasure;iptu
96574;1501402;182;;;;;13.6;;;
96575;1501402;185;;;;;12.9;;;
96576;1501402;188;;;;;12.6;;;
87429;1501402;191;;346616447.99;;;11.9;;577549496.1;76325301.21
96577;1501402;194;;;;;12.8;;;
96578;1501402;197;;;;;13.2;;;
96579;1501402;200;;;;;14.9;;;
89925;1501402;203;;60550487.31;;1446042.0;13.9;;605368184.0;87161901.66
96580;1501402;206;;;;;14.5;;;
3794;1501501;11;;3207579.12;0.529;35546.0;;19327.54;7387914.68;43245.86
9078;1501501;23;;3737311.98;;;;13743.51;9270915.8;93842.53
15724;1501501;35;148879000.0;4568685.95;;;;18548.46;13069512.48;83743.84
21325;1501501;47;162179000.0;4808448.7;;;;29057.66;12457299.11;115763.47
26834;1501501;59;187978000.0;5156202.88;;;;18674.27;14438029.78;113290.64
31727;1501501;71;227484000.0;6211102.33;;;;28721.91;19134113.61;145466.73
37494;1501501;83;317338000.0;7275210.74;;;;43302.56;22428681.78;156609.32
42745;1501501;95;469248000.0;8185355.83;;;;46843.11;25102200.08;145321.1
45427;1501501;107;513538000.0;9717151.64;;;;60799.21;33781704.2;182263.99
51925;1501501;119;492659000.0;10047034.33;;;;79065.89;38940800.72;228781.09
60940;1501501;131;580847000.0;10717189.79;0.665;51651.0;;84853.66;46811326.08;368267.25
62899;1501501;143;667844000.0;14198796.58;;;;189661.15;57676574.0;611468.61
70587;1501501;155;794372000.0;14466310.9;;;10.5;15235.56;70303739.44;25712.35
73655;1501501;167;921749000.0;15429033.68;;;9.6;;8435283.29;1258635.57
83039;1501501;179;1051903000.0;16644862.38;;;11.5;;12126609.6;1791485.2
87419;1501501;191;;17590125.46;;;11.9;;8309502.41;984155.92
89976;1501501;203;;3371238.65;;59836.0;13.9;;7984159.34;293873.65
3826;1504422;11;;3881008.95;0.505;74429.0;;56265.0;8774978.0;64449.0
9011;1504422;23;;5006437.85;;;;77101.0;14519770.0;207151.0
15810;1504422;35;254349000.0;6374920.57;;;;20206.49;21562336.26;199637.16
21450;1504422;47;271259000.0;7156584.27;;;;30696.45;24692147.57;150477.65
26876;1504422;59;381682000.0;7905539.29;;;;37979.59;36150633.74;113257.69
31761;1504422;71;398743000.0;10459344.22;;;;46688.65;52241813.51;97256.22
37529;1504422;83;426290000.0;11570122.77;;;;85844.78;58171713.36;152661.84
42711;1504422;95;549592000.0;13238739.02;;;;144026.36;67833981.49;152519.73
45374;1504422;107;596465000.0;16195252.41;;;;223155.9;57301347.85;35649.54
51876;1504422;119;627214000.0;15070551.31;;;;128585.41;88538499.92;163004.15
60996;1504422;131;732171000.0;16075784.62;0.6759999999999999;108246.0;;889065.05;109125855.96;433293.06
62773;1504422;143;829289000.0;20652794.87;;;;217479.37;147428018.88;719727.19
70653;1504422;155;923339000.0;21041906.56;;;10.5;;;
73635;1504422;167;1112651000.0;22442230.7;;;9.6;;8922455.83;1085169.46
83103;1504422;179;1421180000.0;25723877.99;;;11.5;;12563878.92;2058652.03
87532;1504422;191;;27184739.2;;;11.9;;17405453.27;1690972.72
89910;1504422;203;;5210096.06;;125435.0;13.9;;1653052.61;1653052.61
4449;1600303;11;;30463952.77;0.622;282924.0;;237763.32;66639126.64;873598.65
9492;1600303;23;;38810091.69;;;;150654.0;81525884.0;872600.0
16349;1600303;35;2171527000.0;48003053.03;;;;96298.7;143821750.82;586121.73
22144;1600303;47;2303404000.0;49903266.24;;;;196374.0;138683433.0;1686899.0
27743;1600303;59;2628386000.0;55016599.96;;;;252890.59;163492386.0;1974625.63
31968;1600303;71;2876944000.0;61721400.21;;;;200031.99;195489839.39;801218.79
35639;1600303;83;3604034000.0;77692225.75;;;;293549.28;249174143.0;1989666.68
43013;1600303;95;4020786000.0;75136139.08;;;;454678.78;276615977.9;4712027.49
49773;1600303;107;4711508000.0;112042089.06;;;;803941.31;354154439.2;2673552.18
55586;1600303;119;5072908000.0;91445739.83;;;;848844.86;385205641.17;5315072.85
61055;1600303;131;5503896000.0;100165896.82;0.733;398204.0;;1013371.03;414507013.84;4350466.49
65841;1600303;143;6196918000.0;124607911.18;;;;1385266.49;468030673.23;4116414.93
96581;1600303;146;;;;;12.4;;;
96582;1600303;149;;;;;14.2;;;
96583;1600303;152;;;;;12.7;;;
70579;1600303;155;7450351000.0;128816106.44;;;10.9;2643175.66;505450591.89;5956907.51
96584;1600303;158;;;;;9.6;;;
96585;1600303;161;;;;;12.7;;;
96586;1600303;164;;;;;9.9;;;
73160;1600303;167;8279310000.0;157686749.54;;;9.3;;84424547.17;5271377.25
96587;1600303;170;;;;;11.8;;;
96588;1600303;173;;;;;10.2;;;
96589;1600303;176;;;;;10.4;;;
82964;1600303;179;8901882000.0;174431735.64;;;9.8;;90120545.81;5968188.57
96590;1600303;182;;;;;11.1;;;
96591;1600303;185;;;;;10.9;;;
96592;1600303;188;;;;;13.9;;;
89004;1600303;191;;184862105.78;;;13.9;;79889595.87;7155321.84
96593;1600303;194;;;;;16.6;;;
96594;1600303;197;;;;;17.4;;;
96595;1600303;200;;;;;15.7;;;
94581;1600303;203;;35881770.27;;465495.0;16.8;;43467041.7;8819938.26
96596;1600303;206;;;;;16.5;;;
4443;1600600;11;;3443328.78;0.562;80439.0;;20691.56;17185843.01;190970.73
9487;1600600;23;;3892168.23;;;;62091.81;20541551.98;384846.33
16346;1600600;35;485573000.0;4916648.45;;;;30446.6;26416625.64;698096.37
22145;1600600;47;494249000.0;4967701.99;;;;23806.57;27719108.64;1130100.75
27739;1600600;59;538048000.0;5484452.68;;;;11303.59;32074354.96;522688.13
31964;1600600;71;608792000.0;6874907.51;;;;56325.91;45150403.56;741977.17
35633;1600600;83;717323000.0;7692356.14;;;;1045936.15;56395336.54;1198377.77
43012;1600600;95;786609000.0;8864913.14;;;;108315.91;73113591.18;1115122.04
