acp;model_consumption;model_firm;model_fpm;model_gdp_region;model_labor;model_prop_consumption_gdp;model_prop_consumption_total;model_prop_firm_gdp;model_prop_firm_total;model_prop_fpm_gdp;model_prop_fpm_total;model_prop_labor_gdp;model_prop_labor_total;model_prop_property_gdp;model_prop_property_total;model_prop_transaction_gdp;model_prop_transaction_gdpreal_prop_fpm_gdp;model_prop_transaction_total;model_prop_treasure_gdp;model_property;model_transaction;model_treasure;real_fpm;real_gdp_region;real_prop_fpm_gdp;real_prop_fpm_total;real_prop_property_gdp;real_prop_property_total;real_prop_transaction_gdp;real_prop_transaction_total;real_prop_treasure_gdp;real_property;real_transaction;real_treasure
CURITIBA;102.19772342974102;48.37875150788925;19.06678550520988;3317.4124607025897;32.7565101399226;;0.4585584527792134;;0.25830135533511706;;0.5126055773401209;;0.14691291344855645;;0.1141976637418508;;;0.02202917139540763;;2.5134889403096157;0.3436739068919321;186.19014793911882;22931212.51789916;5737344230.769231;0.0186538754543426;0.4259258969678177;0.0030878836499653325;0.07886189945990676;0.0010098075314507145;0.011621407860299512;0.0773526483287363;25272001.86545065;8058586.8324580975;290027553.799829
FEIRA DE SANTANA;279.79007967154814;125.30205367573221;49.54888344351464;8178.07415585774;85.54425884728035;0.026542277732190984;0.5122017214974359;0.0122645424640635;0.2685792222048419;0.004789427038289824;0.10001171393641144;0.00811599805338967;0.15700252762021955;0.0009340577048051363;0.0517424835630233;0.0001678649159414498;;0.010474057075670302;0.0480247408878845;5.35355460041841;0.8336846202928869;496.8236314435146;36410547.41823529;6010695153.846154;0.0071287701924782065;0.14694262820831938;0.0022270836999674355;0.07404313670125295;0.0005942018944182343;0.007557354048867373;0.06539935280975034;16742781.9;3038538.709230769;299392468.03411764
FLORIANOPOLIS;47.271535544669455;24.111668333680765;9.227995372989877;1628.8171832936273;15.156400206223942;;0.449075357943342;;0.27048138869405125;;0.3622880459649004;;0.143590935077094;;0.11696106393934948;;;0.019890704530079118;;1.402974291542585;0.18310891483025613;88.12568734365694;16130754.986218484;2511217021.978022;0.017453532406687733;0.35453243959895153;0.006328638713934318;0.10613924869519444;0.001978264994980391;0.020031442115031158;0.07874852703259842;17462663.739572648;5071901.216629214;130783115.44042736
FORTALEZA;214.551494533481;94.80833877384056;37.559316717170404;6058.768246352267;65.01854484874934;0.036122795670903055;0.4817386532949615;0.016645058763496527;0.2471290945926631;0.032579737034710274;0.3983930408674301;0.010940826532621864;0.14657525556700335;0.0043285024656958895;0.10031435465999723;0.001055096035389784;;0.0242428271339432;0.06909224796284935;4.167020336112559;0.6282121094319959;379.1736105979677;61684058.28448529;5027520394.230769;0.025393510222818067;0.5539389444338328;0.0016972342600601912;0.04431470387179391;0.0012950788115651832;0.01038893183206712;0.1023258991432552;20686931.16962963;5763562.221346153;330950972.94074064
GOIANIA;128.86524900640262;60.31812285675998;23.86899427784396;4123.395200714711;41.252067300476476;;0.4703074083799878;;0.26518458867336137;;0.4635276418907078;;0.15052751294605893;;0.09363149855626726;;;0.020349005139220205;;2.95577220324598;0.4165748278737344;233.80778616438357;26729580.931512605;4683341549.450549;0.02263665446545393;0.3418489771173127;0.0036180126887054155;0.0931215697678694;0.0015099166287266836;0.014891604668312037;0.09957468031548557;35138517.83931035;9793350.329195404;277721174.07606834
ILHEUS - ITABUNA;125.64061167066806;56.818752420668055;22.41169001722338;3667.3049107515667;38.55015031002088;0.02662316677334335;0.5117255571343864;0.012386280537989377;0.26933408870458025;0.004959790082500975;0.10284954987654983;0.008166095989991701;0.1569099250493819;0.0008973873437488392;0.05117562918028644;0.00017088506234579017;;0.010854842094061266;0.04824381566761311;2.1781572776617955;0.3591556466597077;223.5468274478079;36410547.41676471;2111190807.6923077;0.01870958766676108;0.4548594628610603;0.0012924360208537748;0.04898377773453536;0.0007152892708718963;0.007213559407734481;0.08152489935909353;3452139.00060606;1219119.2224;128153144.02545457
IPATINGA;48.20966678023353;21.84313800959133;8.711232670141783;1471.7741288573816;15.22593746997498;0.03296174129928093;0.4855404112169728;0.015716962350575747;0.2580400446254444;0.02760691157595129;0.32333030275540725;0.01038411374083712;0.15304518270943873;0.005965332102310674;0.08669618803970605;0.0010730697184647589;;0.016678392734502372;0.06610128226759134;1.0623434213928271;0.14908947080900747;86.49017517097582;16324028.836333334;2007595338.4615386;0.03522628884962168;1.080044706075998;0.0030088165904604697;0.0898734492870939;0.0010042210971008651;0.009879964878419032;0.0973663435563538;7738563.394761906;1110972.39640625;91981401.01773807
JOAO PESSOA;105.28575810383651;46.072536988532114;18.50676545433695;3060.0206899499585;32.67966100521268;0.02877721366776622;0.3989158687537101;0.013145352980348505;0.20500514809357345;;2.640908419424937;0.00892966586840695;0.1239643671342367;;0.2173712956419731;;;0.05474410638083521;;1.9740103404920768;0.30051000145954965;186.31247644286904;40347647.78552941;2464233492.3076925;0.03154070993673625;0.9477584482138646;0.0012150676444354193;0.029787440236711364;0.0009905006304987232;0.010107541046111534;0.10173271392664553;6468967.034;4798600.349682539;173771682.65049383
JOINVILLE;53.563734570187634;25.95932794996525;10.133136463863792;1775.6040585476026;17.160406719596942;0.02745875616061229;0.4731220235606886;0.014413952209754125;0.27017021414594644;0.026487700132522086;0.3858823959434908;0.008787684884849288;0.15132877467712533;0.0040703861324427855;0.09021221293785406;0.000713131529707249;;0.015166638655661252;0.05544392847219222;1.3676036949270327;0.1848375496872829;98.23591048818622;11083791.273627453;3532155256.4102564;0.011961625807249786;0.32515887508461755;0.0019830874883473557;0.07421980745485053;0.0006995667769883224;0.009308150686443169;0.06236895943950122;11412665.87882353;2221995.8665384618;148948473.18833333
JUAZEIRO DO NORTE - CRATO - BARBALHA;69.97403438351877;31.579573034422808;12.1602243581363;1872.9349162030605;20.16606786961057;0.03328557098094145;0.5190039091697363;0.015361224114069602;0.262923311266563;0.009074577088667962;0.1409995812630428;0.009607183147899255;0.15169024013076432;0.001270966375435299;0.05436749149673364;0.0002469788124427304;;0.012014906030692996;0.05977192587899372;1.2342004575799719;0.20742145584144647;123.16129731571628;23618412.930588234;970577102.5641023;0.031015269651039575;0.6989516350636571;0.0005475249869873669;0.02000492602629444;0.00048745449222684675;0.00320484990736408;0.1380533742172533;831050.973137255;476642.405897436;81022663.36803922
