cod;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
1303502;26925;30718;32704;37470;44324;46108;53561;59066;76686;98729;97520;108044;134841
1303536;91287;135929;197855;185903;214652;203992;224107;251658;314535;559052;590572;722104;679140
1303569;68626;79374;86078;96151;110636;118733;122999;141313;193863;268716;318300;326203;377104
1303601;17829;17942;19810;18640;23314;36434;45895;50008;65376;87398;86265;104748;123222
1303700;41918;44218;48803;54871;66047;61383;70999;79789;83501;98262;107787;126286;142866
1303809;58797;62110;73284;87632;94560;112743;141440;166427;162583;181582;187652;216457;242976
1303908;41157;44831;49851;53839;63397;70572;81699;91979;108879;129553;142979;172810;190154
1303957;12602;13681;14953;16860;21461;24213;26590;29353;42613;55372;60508;73866;82499
1304005;22617;23853;25996;26758;30821;30934;41284;48484;48370;62113;62378;83929;74867
1304062;66997;86915;95554;107747;125564;142851;160006;197632;237078;294163;275456;327177;350784
1304104;32676;34350;37916;41928;48124;56144;64379;72104;84359;142178;128599;152594;190392
1304203;191904;177025;185768;229239;267434;277321;239097;255117;350169;539754;558291;540069;692171
1304237;21420;24462;27443;31299;39325;42061;47150;50857;58573;76576;81782;99627;106560
1304260;22910;24942;26137;34814;41826;40787;41964;42812;78559;74985;87491;106102;117684
1304302;44065;48267;53053;55424;69616;58845;61896;67209;102020;262260;227714;256607;300793
1304401;27267;28242;29670;28083;32914;47258;51939;63039;73588;85446;99087;110166;119560
1400027;22590;25024;27415;30654;33125;49815;55048;63955;76901;93573;104081;120398;114395
1400050;68702;75447;84664;96576;109409;92505;102266;113549;134967;148197;153345;181429;189788
1400100;1821018;1966959;2112632;2392604;2902139;3187975;3671265;4338036;5123256;5539888;5835746;6705377;7339681
1400159;47170;50715;59326;66145;74529;76965;87302;99235;108568;124340;139877;191785;184948
1400175;38787;42192;49196;61267;67186;80479;103291;114320;124720;148512;153467;183167;200158
1400209;73387;78049;91680;102102;110888;127163;141968;177817;174394;205883;222389;258592;266302
1400233;24282;25782;28662;33045;37759;48301;54900;64682;73318;83313;93127;123945;131801
1400282;21523;24317;27718;32805;42076;42502;48733;55570;76327;82427;87502;114095;119220
1400308;51824;56433;63460;72758;79369;97150;108650;125201;147252;187539;176930;209439;216255
1400407;30579;35210;38618;38457;43003;54959;64925;60622;74442;82347;86659;102878;107694
1400456;47848;52784;59741;57451;63898;74824;84886;86630;102814;109556;115388;131072;138979
1400472;77288;86086;97653;114708;135055;153638;183780;213930;241465;282703;308534;403929;437974
1400506;23477;27445;30040;35444;36550;42852;50617;60867;66010;81867;89964;109951;116317
1400605;24738;27692;31089;34893;40044;39102;43120;49580;59706;67668;74577;93160;93670
1400704;18819;19945;20864;24523;27422;35073;41113;47981;55010;65905;69882;81508;86941
1500107;224354;247947;295111;320742;362883;415535;458889;509254;583793;709884;798053;891428;1058232
1500131;32523;30115;32332;36337;37205;49544;45160;51963;53599;63785;44328;57573;69499
1500206;197106;267707;252212;311642;357400;427526;352565;418856;440767;503716;506916;871619;578094
1500305;85243;83129;90678;90649;93692;103796;121092;133902;161293;190906;232238;262214;294320
1500347;60186;72754;90937;168671;222295;190861;211249;184284;180873;209295;224992;287540;320717
1500404;100785;117489;131789;137816;144580;178153;214101;269353;361813;360713;364445;560154;528399
1500503;333435;362606;410386;399393;429743;424198;536320;379854;576867;527859;467571;454918;540606
1500602;284447;316440;377712;410774;444963;600500;640103;690687;842408;1288182;2206576;3094031;3950289
1500701;34141;35357;38406;48705;52570;64439;71020;85336;95376;113267;130357;154237;167611
1500800;1356575;1509870;1956077;2242831;2694744;3045502;3346302;3539806;4100513;4631459;5114549;4900297;5777643
1500859;32829;41076;48623;54932;55121;70277;83946;87656;111551;137034;179067;209864;257634
1500909;50500;57447;62338;71999;79482;95526;108443;111845;133308;169584;203750;253554;252295
1500958;63534;78606;90668;110875;84864;99740;96127;109004;212961;185990;176413;230601;240670
1501006;18399;20479;24779;32473;33157;42617;53191;59929;55948;66434;67953;87332;90892
1501105;27952;31193;33535;38244;41018;51472;54468;63327;78845;88672;102506;141329;139517
1501204;54812;61625;64814;77577;89625;99713;106934;123005;169274;195523;203189;258691;259368
1501253;26641;32772;36015;30472;28920;25361;27256;27694;34215;42043;46793;51382;58729
1501303;1146810;1152762;1563329;1608708;2043291;2288793;2313664;2076760;2227150;2460398;2006449;2658972;3890723
1501402;8004081;9106087;11024247;11514766;13137025;14368248;15803597;17294868;18801039;21426847;26362015;27139286;28706165
1501451;27740;42468;54220;65432;66569;71532;80642;97784;109871;161153;150486;268532;250426
1501501;148879;162179;187978;227484;317338;469248;513538;492659;580847;667844;794372;921749;1051903
1501576;31131;36792;44327;45702;47184;50501;61463;66636;86836;94171;84493;106169;121352
1501600;16822;20165;25186;25881;26298;28329;38080;45452;56788;54910;54941;79527;80905
1501709;182841;212262;240536;255689;303425;357014;395128;433293;509272;612982;756414;978372;914882
1501725;52745;61316;66701;68173;72270;80990;85319;97197;104504;129814;129297;158513;182170
1501758;17019;21057;27284;28964;27214;26414;26272;30930;35204;39925;41223;49628;56454
1501782;158705;171613;206434;216607;224255;257970;366328;270546;534052;615403;409761;473702;526745
1501808;176537;197410;251985;246571;250340;295801;293398;338524;363440;425659;503024;555397;613983
1501907;84746;105245;121914;137792;178527;157022;162683;189747;228097;238240;287636;446363;381172
1501956;27048;30038;31352;34509;38280;46166;52168;55499;76673;93804;100614;139360;143224
1502004;32787;35512;39235;43510;46773;48822;58367;67879;78541;100791;119908;143118;146857
1502103;226174;237645;221070;259798;283335;325540;355218;408615;475011;555606;617316;738755;841984
1502152;69857;146316;465099;581460;630993;634934;1234877;710918;2120092;2947457;3207827;3483478;2810059
1502202;231999;236666;270842;287656;347131;387578;460563;518082;601464;670998;671582;828515;920690
1502301;83007;94150;104149;115496;151525;161910;167764;189364;232622;255156;300830;369838;381499
1502400;498849;579904;759891;860461;986967;1145325;1329184;1450564;1738923;1919931;2349756;2437327;2712093
1502509;37694;42450;46170;50289;46965;52005;62789;70785;82705;98374;114282;137769;147613
1502608;15837;17547;21028;23750;32561;38397;40769;38810;42094;45089;48865;60813;60557
1502707;120537;166507;172628;193029;208193;237788;250050;257802;299034;360801;426733;407473;464456
1502756;38081;51304;57344;70495;87790;89606;91075;113693;136685;159552;194200;237892;249977
1502764;37634;44722;58282;72088;70251;67752;70769;77689;107977;135871;154775;186290;201487
1502772;39333;42157;50489;54946;60598;80403;84848;89052;116295;147615;197767;207669;206708
1502806;29771;34115;38205;41294;49678;57704;65135;74846;92822;109503;121206;156926;166408
1502855;21454;25590;29082;33436;40126;42441;56820;66154;93835;62791;71662;79091;87568
1502905;43425;56427;59518;66322;76736;83492;100261;115146;132771;158311;166800;220401;220470
1502939;145140;200806;227335;217886;270881;244532;268019;286165;311832;402445;372226;421272;461795
1502954;55842;67802;90705;113126;134980;132129;134500;164883;200326;214135;237257;249470;271290
1503002;13620;15964;17443;23751;24663;30631;33743;38909;29521;30583;41010;54288;43055
1503044;46301;71904;80420;83739;75089;95827;134315;165812;271036;370526;314642;357379;314167
1503077;40149;42852;57988;58533;74808;69844;86542;91024;121027;117108;141781;171830;182734
1503093;71143;77951;102068;125019;137147;154848;147700;147618;170782;188608;226404;267741;318754
1503101;38760;42057;46775;54461;62828;72001;79673;91356;103744;121029;133898;163913;179677
1503200;62751;64300;75488;74906;88331;97506;106706;121151;136819;206187;212043;269984;271731
1503309;101377;109698;125364;148407;162547;178885;193909;212937;237082;273348;321432;374543;407586
1503408;15878;20636;26302;28361;28857;34604;39250;40161;45885;60713;63467;90811;86667
1503457;113510;153713;191737;193796;202693;221680;281919;273022;387767;498873;440662;471202;488004
1503507;46883;56823;67719;68000;68371;78142;82777;91725;105748;115442;121281;162191;175752
1503606;259818;327946;419488;446156;521171;632797;681618;727726;906107;930322;929675;1165927;1438852
1503705;81756;101084;141729;159969;185987;175252;194320;218315;241334;271907;295101;381965;424804
1503754;29805;32980;37801;41366;46686;58173;70038;81677;99660;113275;141010;159487;178212
1503804;105151;115511;153754;172593;190310;219449;224646;254583;263119;301391;344962;377070;415949
1503903;69605;93247;94213;87261;99397;156927;227471;316673;480752;568141;568015;868722;906056
1504000;72760;63899;72731;94450;99020;107300;119062;153909;193960;221430;286482;392544;355138
1504059;51481;61951;71551;84311;93943;127938;154836;166089;174972;189972;196676;235996;264978
1504109;11322;13503;15008;17828;16426;17730;22090;26128;34471;33799;48371;59449;55159
1504208;796211;1082505;1607770;1853901;2325295;2801172;3218405;3015985;3458625;3822998;4170451;5739901;6318506
1504307;39717;48595;56229;67167;66249;78644;86703;99066;112322;132533;133493;169509;181673
1504406;44553;53336;61133;65666;66419;75261;85761;100933;100430;121686;148200;156194;186012
1504422;254349;271259;381682;398743;426290;549592;596465;627214;732171;829289;923339;1112651;1421180
1504455;131860;119787;128520;154052;143706;179089;176940;225034;258218;262722;255350;318026;502706
1504505;26881;29564;33145;36985;41825;41245;43993;49198;69232;84585;102149;124602;132117
1504604;44924;46540;50618;61990;69420;80368;92193;106189;128841;139095;186532;224102;219033
1504703;121463;148029;179193;199559;232012;308921;326041;349790;398706;481619;562477;657367;652423
1504752;;;;;;;;;;;;213045;228897
1504802;140115;169261;192189;195316;224892;258629;317743;300268;394236;371138;414857;555744;564751
1504901;47808;49889;53568;65215;72660;82878;94276;107235;140604;175563;191396;235348;212773
1504950;29398;33006;43825;49638;60346;66123;68760;93763;98465;122438;107024;167053;148426
1504976;21110;24952;29817;37212;43878;47218;55690;58431;67354;80353;94782;101321;111746
1505007;21935;24874;29655;29620;31388;36678;41130;52424;56296;65563;75151;90210;95776
1505031;82490;100211;146353;151238;173060;195168;165952;172774;293613;296808;331148;355426;425018
1505064;106564;139677;176300;204548;200941;219915;230659;266454;347951;410402;506001;592580;658505
1505106;131235;149636;166467;176622;185944;208549;233861;255495;363169;322745;382378;522300;476351
1505205;44007;46933;57058;62389;72892;87150;101987;116590;154222;174597;213065;286546;285962
1505304;594775;671118;869847;908221;756225;807748;1164533;866141;1635545;1630765;1264242;1524677;1410765
1505403;31417;35694;42952;47005;53546;57663;61143;69461;90156;101727;113213;159882;151690
1505437;48350;58712;67894;71042;110344;191716;288526;229986;326029;482895;479964;431090;820015
1505486;75304;86369;97121;112736;121874;161547;176719;187315;224947;264384;326519;341269;379020
1505494;13224;15629;19745;20625;20899;23687;26420;30037;36046;40192;39353;46089;47707
1505502;540232;571838;581570;616187;692996;781332;937220;978028;1427239;1685588;1709396;1749020;2007253
1505536;1396407;1649253;2194271;2476363;2673716;2955019;6522232;5373091;14985170;21013984;19080395;20198715;15568461
1505551;18828;23395;27703;28630;28133;29514;32613;38500;42532;50700;47365;53562;58315
1505601;13457;14433;15648;17446;19398;20045;22627;25290;28106;32750;37343;64775;41865
1505635;52055;69899;67594;67715;63312;63233;68830;74865;89211;104969;115553;137234;155724
1505650;51657;41383;47555;52584;59404;72671;75707;82925;111570;123708;130997;160850;221952
1505700;36763;38173;47683;53127;56738;72155;74305;86614;111426;131980;141116;152436;165253
1505809;105648;116595;149543;163830;180269;223461;213381;226067;264772;290364;378911;456736;440767
1505908;48264;57984;60099;63563;70397;87868;81689;109927;131392;159876;178848;226304;203227
1506005;66770;81425;101736;116099;124853;100428;106026;121695;141501;159562;197161;229100;219294
1506104;14606;15515;16607;19555;20164;23483;26520;34581;34879;39317;44135;70680;64117
1506112;17775;18848;21563;25219;28243;32669;36122;41614;43000;50848;55967;71116;70788
1506138;338506;352020;424133;454204;527782;633238;659062;708068;752443;855748;965208;1096384;1318706
1506161;56190;66478;108289;119325;147111;141826;167306;174185;201449;211154;228291;266214;304687
1506187;147374;164705;197009;217383;226993;254099;264783;290617;333880;389633;342576;394626;470279
1506195;55189;61274;71197;74702;79215;101538;109583;124066;149745;172264;180425;229974;257423
1506203;71502;83462;93182;113831;123309;130362;143207;166445;176749;205015;291863;277429;309735
1506302;28341;31574;35825;40860;45847;51872;57750;67163;77018;90257;100369;113111;123110
1506351;32703;31338;38012;43867;55558;67350;67906;64097;71545;86139;114531;102605;121341
1506401;14456;15130;16978;19278;21014;19451;23628;27257;33698;40752;52165;50839;53094
1506500;158815;174116;203680;220479;223551;256081;291256;340650;366698;433552;413979;506488;553703
1506559;29103;34604;40841;44903;47401;51225;56656;64579;74135;83729;93921;112233;122238
1506583;47841;58178;67943;82131;83130;88225;93468;97867;125316;145031;159444;195215;202268
1506609;51026;55304;74388;64247;82503;108966;126018;137820;152534;179004;201877;283608;233944
1506708;123461;168425;203854;214361;229536;261588;293058;327091;329767;376777;423595;515231;591018
1506807;829191;1079279;1361523;1410816;1621689;1708319;1856947;2019446;2309692;2601840;3255042;3433607;3789328
1506906;11028;13109;15438;13990;14848;16909;17982;23200;24335;27872;30148;39090;38050
1507003;66573;88966;91640;97927;107909;127503;132090;133130;136005;163692;162292;189069;246098
1507102;28200;30514;36805;38027;39626;63618;47003;47265;57871;72578;88454;106262;105405
1507151;41839;46047;60249;64976;75423;74063;80553;98007;113690;139066;144470;160958;177813
1507201;39526;54523;62618;63284;83291;126450;90541;116428;151118;176546;188725;267101;228506
1507300;173716;199085;206933;227446;242308;291066;336218;377835;495055;581855;732394;879870;1030825
1507409;27050;33746;39082;41848;43014;54686;53645;68019;96494;83691;93222;181684;167864
1507458;69846;84525;108714;112343;114330;121256;126749;136227;166439;197005;258913;246521;288679
1507466;11521;11376;14516;15211;14039;15733;19297;21461;23155;25948;28351;29906;35430
1507474;25638;30561;35254;39031;47780;53037;56729;64982;74769;85850;94878;121857;126201
1507508;20303;22461;28924;37490;48321;38741;40203;46005;54398;72682;78229;89686;90454
1507607;123497;130520;159574;170546;180288;213276;218275;269050;338330;366872;395579;587290;550614
1507706;35991;35481;40439;45208;50285;56506;64718;69926;98324;120634;131520;153981;160680
1507755;28454;30475;34437;35459;37148;45340;44114;53166;54126;62948;52925;74711;80325
1507805;29682;31838;32130;38581;43984;59516;53209;53904;57736;67804;74027;95153;98267
1507904;44035;45391;50981;56817;59247;63710;67988;77073;86847;97767;137858;135446;146969
1507953;145878;174394;233835;249857;255758;269941;313599;351479;422201;492292;508561;620710;744888
1507961;13416;14818;17545;19632;21464;24939;27573;31471;34897;40006;40539;63335;57447
1507979;25729;29809;33666;37621;40659;40049;48418;55889;71984;76490;346022;304290;400112
1508001;148194;155950;179081;206928;235813;259295;290824;285637;335913;397127;435061;469054;516726
1508035;36014;43575;45127;50207;60020;74627;82601;79575;95703;116061;133834;181179;188260
1508050;35691;47000;56693;56883;66106;77592;80252;89038;103515;133523;155088;201240;212347
1508084;96652;113898;136001;134519;176738;220711;252732;299922;348358;395992;473134;463405;566720
1508100;1148637;1099767;1363488;1635831;1847043;2248566;2457002;1726210;2566105;2799475;2922725;3655059;2953335
1508126;327904;360256;349519;354132;428233;454122;451127;529673;545230;803723;828084;1345826;1202327
1508159;141729;138829;159637;189362;208600;222639;243204;238511;294588;324947;334352;361319;466401
1508209;67899;92256;93529;109079;122966;136388;142933;176414;180174;217814;252285;279435;322279
1508308;86952;106816;115681;123969;135882;162362;178444;189994;237509;282073;322765;430260;414142
1508357;45152;48110;52786;53937;55747;54357;62034;69652;92756;111884;154595;373869;458137
1508407;173508;244205;268338;304201;405756;442217;384058;448707;500256;585302;569966;710788;847298
1600055;14264;17305;21269;23502;29667;34048;36827;34540;37563;42743;49451;54042;58194
1600105;27768;31260;36555;43571;47535;56344;63364;68873;77628;84676;108186;134479;167323
1600154;20886;51739;37390;53678;60927;130442;119094;102005;171959;248428;263375;356398;290274
1600204;26857;29559;34254;40375;47151;56419;65082;79371;83485;116100;130566;142502;122045
1600212;13212;14659;16241;19390;23405;27965;31204;34743;39502;44654;51805;58181;59172
1600238;20965;31703;22712;26796;28321;35840;51164;56734;69508;91962;106821;155000;190728
1600253;12619;13782;16512;19615;21804;22237;26140;29845;32633;36774;43609;47989;49006
1600279;128268;145133;158929;180813;221353;265022;301435;327665;346803;395925;468851;541838;542162
1600303;2171527;2303404;2628386;2876944;3604034;4020786;4711508;5072908;5503896;6196918;7450351;8279310;8901882
1600402;58295;63802;59210;73695;83646;112499;111697;117612;150946;173752;177378;214913;207989
1600501;67038;76742;91743;105292;125826;153377;170285;194864;193371;218669;245650;288112;282062
1600535;51967;54583;62671;115878;134077;138327;147415;163494;211985;219701;244873;267558;274427
1600550;10627;11498;13235;16903;19040;24490;26978;31325;37126;41193;50224;57776;58417
1600600;485573;494249;538048;608792;717323;786609;900487;982754;1075428;1274490;1476769;1819411;1874614
1600709;27465;31438;38675;44835;50416;77253;101898;102254;101676;112856;136170;194912;163697
1600808;36012;42339;48909;56330;66299;70864;85835;91667;104285;110385;126790;151064;158293
1700251;6246;7824;8378;9886;10287;11405;13259;14973;16234;18710;20746;26613;27191
1700301;11949;14779;16736;19279;25709;34357;52954;58659;65256;65391;80978;107771;87917
1700350;21298;31696;31757;31261;27788;27631;32721;41793;46764;51979;52879;63294;64982
1700400;21592;26678;29601;33333;32621;35436;43633;52338;62942;73074;83699;93826;107405
1700707;34057;41124;44538;50337;60946;69828;86304;121002;144372;214031;197775;218020;233661
1701002;27699;33702;36460;37584;42090;44088;49249;54407;61771;69441;76290;85113;86089
